Size,Time
10.0,0.002001
10.0,0.000999
10.0,0.002002
10.0,0.001999
10.0,0.000999
10.0,0.001
10.0,0.002026
10.0,0.001
10.0,0.002001
10.0,0.001004
10.0,0.001995
10.0,0.001004
10.0,0.001996
10.0,0.001
10.0,0.001
10.0,0.000998
10.0,0.002005
10.0,0.001
10.0,0.002
10.0,0.001001
20.0,0.001999
20.0,0.001
20.0,0.002
20.0,0.001
20.0,0.002
20.0,0.001002
20.0,0.001998
20.0,0.002
20.0,0.001
20.0,0.002
20.0,0.001
20.0,0.002
20.0,0.001
20.0,0.001996
20.0,0.001004
20.0,0.001996
20.0,0.000999
20.0,0.001
20.0,0.002
20.0,0.001
30.0,0.002
30.0,0.002
30.0,0.001
30.0,0.001002
30.0,0.001998
30.0,0.001
30.0,0.002
30.0,0.001
30.0,0.002
30.0,0.001109
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
30.0,0.0
40.0,0.015654
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.015624
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
40.0,0.0
50.0,0.0
50.0,0.015628
50.0,0.0
50.0,0.0
50.0,0.0
50.0,0.0
50.0,0.0
50.0,0.0
50.0,0.0
50.0,0.0
50.0,0.0
50.0,0.0
50.0,0.015618
50.0,0.0
50.0,0.0
50.0,0.0
50.0,0.0
50.0,0.0
50.0,0.0
50.0,0.0
60.0,0.0
60.0,0.0
60.0,0.015629
60.0,0.0
60.0,0.0
60.0,0.0
60.0,0.0
60.0,0.0
60.0,0.0
60.0,0.0
60.0,0.0
60.0,0.0
60.0,0.0
60.0,0.015691
60.0,0.002118
60.0,0.0
60.0,0.0
60.0,0.0
60.0,0.0
60.0,0.0
70.0,0.0
70.0,0.0
70.0,0.0
70.0,0.0
70.0,0.0
70.0,0.015659
70.0,0.0
70.0,0.0
70.0,0.0
70.0,0.0
70.0,0.0
70.0,0.0
70.0,0.0
70.0,0.0
70.0,0.0
70.0,0.0
70.0,0.015625
70.0,0.0
70.0,0.0
70.0,0.0
80.0,0.0
80.0,0.0
80.0,0.0
80.0,0.0
80.0,0.0
80.0,0.0
80.0,0.015626
80.0,0.0
80.0,0.0
80.0,0.0
80.0,0.0
80.0,0.0
80.0,0.0
80.0,0.0
80.0,0.0
80.0,0.0
80.0,0.0
80.0,0.015629
80.0,0.0
80.0,0.0
90.0,0.0
90.0,0.0
90.0,0.0
90.0,0.0
90.0,0.0
90.0,0.0
90.0,0.0
90.0,0.015621
90.0,0.0
90.0,0.0
90.0,0.0
90.0,0.0
90.0,0.0
90.0,0.0
90.0,0.0
90.0,0.0
90.0,0.0
90.0,0.0
90.0,0.015625
90.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.015621
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.0
100.0,0.015624
110.0,0.0
110.0,0.0
110.0,0.0
110.0,0.0
110.0,0.0
110.0,0.0
110.0,0.0
110.0,0.0
110.0,0.0
110.0,0.0
110.0,0.015631
110.0,0.0
110.0,0.0
110.0,0.0
110.0,0.0
110.0,0.0
110.0,0.0
110.0,0.0
110.0,0.0
110.0,0.0
120.0,0.0
120.0,0.0
120.0,0.0
120.0,0.0
120.0,0.0
120.0,0.0
120.0,0.0
120.0,0.0
120.0,0.0
120.0,0.0
120.0,0.0
120.0,0.015625
120.0,0.0
120.0,0.0
120.0,0.0
120.0,0.0
120.0,0.0
120.0,0.0
120.0,0.0
120.0,0.0
130.0,0.0
130.0,0.0
130.0,0.015625
130.0,0.0
130.0,0.0
130.0,0.0
130.0,0.0
130.0,0.0
130.0,0.0
130.0,0.0
130.0,0.0
130.0,0.0
130.0,0.015703
130.0,0.001004
130.0,0.0
130.0,0.0
130.0,0.0
130.0,0.0
130.0,0.0
130.0,0.0
140.0,0.0
140.0,0.0
140.0,0.0
140.0,0.0
140.0,0.01566
140.0,0.0
140.0,0.0
140.0,0.00502
140.0,0.002029
140.0,0.001001
140.0,0.001
140.0,0.001998
140.0,0.000997
140.0,0.001977
140.0,0.001028
140.0,0.001975
140.0,0.002009
140.0,0.000987
140.0,0.002004
140.0,0.00102
150.0,0.001986
150.0,0.002009
150.0,0.001982
150.0,0.001999
150.0,0.002019
150.0,0.001999
150.0,0.002007
150.0,0.001994
150.0,0.000981
150.0,0.002019
150.0,0.002007
150.0,0.000975
150.0,0.002028
150.0,0.000999
150.0,0.002008
150.0,0.000993
150.0,0.002
150.0,0.000999
150.0,0.002001
150.0,0.001
160.0,0.002008
160.0,0.000993
160.0,0.001999
160.0,0.002
